node,tipo,frequencia,degree,betweenness,closeness,eigenvector,pagerank
UFRN,ORGANIZACAO,148,0.9887429643527205,0.8926036897878457,0.9888682745825603,0.5390068029642934,0.06836647435187801
Agecom,ORGANIZACAO,50,0.3330206378986867,0.052949401364861384,0.5998874507597074,0.23031062748663647,0.021729628191521112
José Daniel Diniz Melo,PESSOA,14,0.10600375234521577,0.004982780457471947,0.5279841505695889,0.07687984043464391,0.006690165360833867
Instituto Metrópole Digital,CENTRO,11,0.07786116322701689,0.0024676975759078137,0.517224648229015,0.05357148910090579,0.0052746219151891755
MEC,ORGANIZACAO,10,0.07879924953095685,0.004742366025760583,0.5192401363857769,0.061298763484559454,0.005212744606157136
Instagram,PESSOA,11,0.08348968105065666,0.002843575943885118,0.5187347931873479,0.06088072366631179,0.005178092060244018
"Centro de Ciências Humanas, Letras e Artes",CENTRO,9,0.09943714821763602,0.003839474201892612,0.5230618253189402,0.09766437357890198,0.004805916677306601
Centro de Ciências Exatas e da Terra,CENTRO,10,0.05909943714821764,0.0013467924495062938,0.5122537241710716,0.035626569948074026,0.0044035413471626055
PROEX,ORGANIZACAO,9,0.07223264540337711,0.001775963263424616,0.5157232704402516,0.06447140350373386,0.004400769302183853
Centro de Ciências Sociais Aplicadas,CENTRO,9,0.06660412757973734,0.0016694706492026998,0.5142305836951279,0.052491613965290854,0.004077010149700459
Escola de Ciências e Tecnologia,CENTRO,7,0.07035647279549719,0.0017990644740638133,0.5169738118331717,0.050991300127366856,0.0040113226200754444
EAJ,ORGANIZACAO,8,0.055347091932457786,0.0007412970954444934,0.5112709832134292,0.04995410677900386,0.003780030156576687
Fórum,ORGANIZACAO,6,0.04878048780487805,0.0006403706387851407,0.5112709832134292,0.05010702454163972,0.003311906808124885
CNPq,ORGANIZACAO,5,0.055347091932457786,0.0007877184586219284,0.5112709832134292,0.051597095064679986,0.0031460407930117037
Escola Agrícola de Jundiaí,ORGANIZACAO,6,0.04690431519699812,0.0004203805601686321,0.5090735434574976,0.04610506301496716,0.003051822455820638
Centro de Ensino Superior,ORGANIZACAO,5,0.0600375234521576,0.0007625364444327004,0.5125,0.0701213838610187,0.0029708376431417604
Escola de Música da,ORGANIZACAO,5,0.04784240150093809,0.0006816452883096655,0.5093167701863354,0.0430789841816404,0.002804975241659282
Renata Archanjo,PESSOA,5,0.039399624765478425,0.00036500031016850507,0.5088305489260143,0.04234909974405179,0.002721796547753915
Instituição,ORGANIZACAO,5,0.04596622889305816,0.0008559313506067201,0.5105363984674329,0.03634422409509876,0.0027072108671749875
Conselho Nacional de Desenvolvimento Científico e Tecnológico,ORGANIZACAO,4,0.04596622889305816,0.000450212916719272,0.5088305489260143,0.0430157373412933,0.0026668341106736394
